nsc-ccs, 2604/udp, CCS
nsc-posa, 2605/tcp, POSA
nsc-posa, 2605/udp, POSA
netmon, 2606/tcp, Netmon
netmon, 2606/udp, Netmon
dict, 2628/tcp, 2229
dict, 2628/udp, 2229
corbaloc, 2809/tcp, locator
icpv2, 3130/tcp, (Squid)
icpv2, 3130/udp, (Squid)
mysql, 3306/tcp, MySQL
mysql, 3306/udp, MySQL
trnsprntproxy, 3346/tcp, Proxy
trnsprntproxy, 3346/udp, Proxy
pxe, 4011/udp, server
minirem, 4120/tcp, Control
aws-wsp, 4195/tcp, solution
aws-wsp, 4195/udp, solution
aws-wsp, 4195/sctp, solution
aws-wsp, 4195/dccp, solution
fud, 4201/udp, Daemon
opentelemetry, 4317/tcp, Protocol
rwhois, 4321/tcp, Is
rwhois, 4321/udp, Is
getty-focus, 4332/tcp, service
krb524, 4444/tcp, xlator
krb524, 4444/udp, xlator
ntske, 4460/tcp, Establishment
sixid, 4606/tcp, lookup
dots-signal, 4646/tcp, Protocol.
dots-signal, 4646/udp, Protocol.
xcap-portal, 4888/tcp, access
xcap-control, 4889/tcp, administration
burp, 4971/tcp, Program
rfe, 5002/tcp, Ethernet
rfe, 5002/udp, only
cfengine, 5308/tcp, CFengine
cfengine, 5308/udp, CFengine
coap, 5683/tcp, (CoAP)
coaps, 5684/tcp, (CoAP)
cvsup, 5999/tcp, Polstra/FreeBSD
cvsup, 5999/udp, Polstra/FreeBSD
x11, 6000/tcp, System
heliosd, 6440/tcp, daemon
checkmk-agent, 6556/tcp, Agent
babel-dtls, 6699/udp, DTLS
split-ping, 6924/tcp, split
split-ping, 6924/udp, split
afs3-fileserver, 7000/tcp, itself
afs3-fileserver, 7000/udp, itself
afs3-callback, 7001/tcp, managers
afs3-callback, 7001/udp, managers
afs3-prserver, 7002/tcp, database
afs3-prserver, 7002/udp, database
afs3-vlserver, 7003/tcp, database
afs3-vlserver, 7003/udp, database
afs3-kaserver, 7004/tcp, service
afs3-kaserver, 7004/udp, service
afs3-volser, 7005/tcp, server
afs3-volser, 7005/udp, server
afs3-errors, 7006/tcp, service
afs3-errors, 7006/udp, service
afs3-bos, 7007/tcp, process
afs3-bos, 7007/udp, process
afs3-update, 7008/tcp, updater
afs3-update, 7008/udp, updater
afs3-rmtsys, 7009/tcp, service
afs3-rmtsys, 7009/udp, service
loreji-panel, 7026/tcp, Panel
iba-cfg, 7072/tcp, Protocol
iba-cfg-disc, 7072/udp, Protocol
asa-gateways, 7234/tcp, infra
ipluminary, 7420/udp, control
rome, 7663/tcp, storage
rome, 7663/udp, storage
p2pevolvenet, 8004/tcp, Prot
warppipe, 8007/tcp, software
warppipe, 8007/udp, software
nvme-disc, 8009/tcp, Service
cfg-cloud, 8015/tcp, Service
ads-s, 8016/tcp, Specification
arca-api, 8023/tcp, API
arca-api, 8023/udp, API
papachi-p2p-srv, 8027/tcp, service
papachi-p2p-srv, 8027/udp, service
enguity-xccetp, 8041/tcp, Transport
enguity-xccetp, 8041/udp, Transport
websnp, 8084/tcp, HTTP
skynetflow, 8111/udp, services
aruba-papi, 8211/udp, management
espeasy-p2p, 8266/udp, communication
semi-grpc, 8710/tcp, implementations
core-of-source, 8767/tcp, game
sandpolis, 8768/tcp, Server
oktaauthenticat, 8769/tcp, Svcs
pfcp, 8805/udp, PFCP
hes-clip, 8807/udp, protocol
3gpp-monp, 8809/udp, (MONP)
dpp, 8908/tcp, Protocol
d-star, 9011/udp, radio
cisco-aqos, 9081/udp, Service
hexxorecore, 9111/tcp, Bus
hexxorecore, 9111/udp, Bus
sapms, 9310/tcp, Server
gnmi-gnoi, 9339/tcp, Interface
p4runtime, 9559/tcp, Service
x510, 9877/tcp, protocol
visweather, 9979/tcp, data
amanda, 10080/tcp, services
amanda, 10080/udp, services
cimple, 10125/tcp, API
cirrossp, 10443/tcp, Communication
xcompute, 11235/tcp, messaging
xcompute, 11235/sctp, messaging
pgpkeyserver, 11371/tcp, keyserver
pgpkeyserver, 11371/udp, keyserver
asgcypresstcps, 11489/tcp, Only
h323callsigalt, 11720/tcp, Alternate
h323callsigalt, 11720/udp, Alternate
tibsd, 11971/tcp, Service
bprd, 13720/tcp, NetBackup)
bprd, 13720/udp, NetBackup)
bpdbm, 13721/tcp, NetBackup)
bpdbm, 13721/udp, NetBackup)
bpjava-msvc, 13722/tcp, Protocol
bpjava-msvc, 13722/udp, Protocol
vnetd, 13724/tcp, Utility
vnetd, 13724/udp, Utility
bpcd, 13782/tcp, NetBackup
bpcd, 13782/udp, NetBackup
vopied, 13783/tcp, Protocol
vopied, 13783/udp, Protocol
heythings, 18516/udp, service
faircom-db, 19790/tcp, Database
trinket-agent, 21212/tcp, intelligence
cohesity-agent, 21213/tcp, agents
wnn6, 22273/tcp, wnn4
wnn6, 22273/udp, wnn4
showcockpit-net, 22333/tcp, Networking
showcockpit-net, 22333/udp, Networking
vrmg-ip, 24323/tcp, TCP
flex-lmadmin, 27010/tcp, services
mongodb, 27017/tcp, system
gruber-cashreg, 28010/tcp, protocol
saltd-licensing, 29000/tcp, Server
gs-realtime, 30400/tcp, System
wg-endpt-comms, 33000/tcp, Communications
mtrace, 33435/udp, Traceroute
digilent-adept, 33890/tcp, protocol
3gpp-w1ap, 37472/sctp, transport
ng-control, 38412/sctp, (3GPP)
xn-control, 38422/sctp, (3GPP)
e1-interface, 38462/sctp, (3GPP)
f1-control, 38472/sctp, (3GPP)
hmip-routing, 43438/udp, Routing
acronis-backup, 44445/tcp, port
juka, 48048/tcp, Protocol
inspider, 49150/tcp, System
rtmp, 1/ddp, Protocol
nbp, 2/ddp, Protocol
echo, 4/ddp, Protocol
zip, 6/ddp, Protocol
kerberos_master, 751/udp, authentication
kerberos_master, 751/tcp, authentication
passwd_server, 752/udp, server
krbupdate, 760/tcp, registration
kpop, 1109/tcp, Kerberos
knetd, 2053/tcp, de-multiplexor
krb5_prop, 754/tcp, propagation
eklogin, 2105/tcp, rlogin
supfilesrv, 871/tcp, server
supfiledbg, 1127/tcp, debugging
netstat, 15/tcp, more)
poppassd, 106/tcp, Eudora
poppassd, 106/udp, Eudora
omirr, 808/tcp, mirror
omirr, 808/udp, mirror
swat, 901/tcp, Tool
rndc, 953/tcp, 9)
rndc, 953/udp, 9)
skkserv, 1178/tcp, method
xtel, 1313/tcp, minitel
support, 1529/tcp, tracker
cfinger, 2003/tcp, Finger
ninstall, 2150/tcp, service
ninstall, 2150/udp, service
afbackup, 2988/tcp, system
afbackup, 2988/udp, system
squid, 3128/tcp, proxy
prsvp, 3455/tcp, Port
prsvp, 3455/udp, Port
distcc, 3632/tcp, distcc
svn, 3690/tcp, Subversion
svn, 3690/udp, Subversion
postgres, 5432/tcp, POSTGRES
postgres, 5432/udp, POSTGRES
fax, 4557/tcp, (old)
hylafax, 4559/tcp, (new)
sgi-dgl, 5232/tcp, Graphics
llmnr, 5355/tcp, LLMNR
llmnr, 5355/udp, LLMNR
canna, 5680/tcp, auriga-router
x11-ssh-offset, 6010/tcp, offset
xfs, 7100/tcp, server
tircproxy, 7666/tcp, Tircproxy
webcache, 8080/tcp, service
webcache, 8080/udp, service
tproxy, 8081/tcp, Proxy
tproxy, 8081/udp, Proxy
jetdirect, 9100/tcp, pdl-datastream
mandelspawn, 9359/udp, mandelbrot
kamanda, 10081/tcp, (Kerberos)
kamanda, 10081/udp, (Kerberos)
amandaidx, 10082/tcp, services
amidxtape, 10083/tcp, services
isdnlog, 20011/tcp, system
isdnlog, 20011/udp, system
wnn4_Kr, 22305/tcp, package
wnn4_Cn, 22289/tcp, package
wnn4_Tw, 22321/tcp, package
binkp, 24554/tcp, Binkley
binkp, 24554/udp, Binkley
sdtvwcam, 24666/tcp, application
canditv, 24676/tcp, Service
canditv, 24676/udp, Service
asp, 27374/tcp, Protocol
asp, 27374/udp, Protocol
tfido, 60177/tcp, Ifmail
tfido, 60177/udp, Ifmail
fido, 60179/tcp, Ifmail
fido, 60179/udp, Ifmail
compressnet, 2/tcp, Utility
compressnet, 2/udp, Utility
discard, 9/sctp, Discard
discard, 9/dccp, SC:DISC
ftp-data, 20/sctp, FTP
ftp, 21/sctp, FTP
ssh, 22/sctp, SSH
nsw-fe, 27/tcp, FE
nsw-fe, 27/udp, FE
msg-icp, 29/tcp, ICP
msg-icp, 29/udp, ICP
msg-auth, 31/tcp, Authentication
msg-auth, 31/udp, Authentication
dsp, 33/tcp, Protocol
dsp, 33/udp, Protocol
graphics, 41/tcp, Graphics
graphics, 41/udp, Graphics
mpm-flags, 44/tcp, Protocol
mpm-flags, 44/udp, Protocol
mpm, 45/tcp, [recv]
